clip_id,AU01_r_mean,AU01_r_std,AU01_r_q95,AU02_r_mean,AU02_r_std,AU02_r_q95,AU04_r_mean,AU04_r_std,AU04_r_q95,AU05_r_mean,AU05_r_std,AU05_r_q95,AU06_r_mean,AU06_r_std,AU06_r_q95,AU07_r_mean,AU07_r_std,AU07_r_q95,AU09_r_mean,AU09_r_std,AU09_r_q95,AU12_r_mean,AU12_r_std,AU12_r_q95,label,source_id
Phi3_S108,0.20363636363636362,0.2912103532030243,0.8324999999999995,0.09462121212121212,0.2030207198203724,0.5789999999999997,1.1141666666666665,0.3299873734958152,1.59,0.05863636363636364,0.1144503807768168,0.35449999999999987,0.5491666666666666,0.36350087763403327,1.1744999999999999,1.185151515151515,0.8516929569383853,2.4424999999999994,0.16007575757575757,0.3463958292948355,0.9144999999999999,0.00045454545454545455,0.002992008787705072,0.0,0,Phi3
Phi3_S129,0.04782608695652174,0.060806178175805685,0.195,0.03956521739130435,0.06649833821613325,0.195,0.8539130434782609,0.37570365544532014,1.5975000000000001,0.05695652173913044,0.12566038119059716,0.3725,0.20891304347826087,0.15859421680460084,0.45749999999999996,1.9354347826086957,0.9682922114544171,3.075,0.08173913043478262,0.12850083177986021,0.3475,0.07543478260869564,0.11718374027785276,0.325,1,Phi3
Phi3_S171,0.10030303030303031,0.1622013572786316,0.3379999999999998,0.03878787878787879,0.07896825215543807,0.13399999999999992,0.9275757575757576,0.14239097370949955,1.126,0.03606060606060606,0.0633413073130103,0.15999999999999995,0.2736363636363636,0.21011630978190068,0.54,0.7003030303030303,0.31516349773257424,1.148,0.05030303030303031,0.06770731351213326,0.15199999999999997,0.22454545454545455,0.22059707201551473,0.5579999999999999,0,Phi3
Phi3_S177,0.14925373134328357,0.2387675444831384,0.66,0.09159203980099502,0.16358928062779177,0.47,0.4793034825870647,0.570123243200811,1.84,0.11034825870646767,0.26341294218290173,0.78,0.2791542288557214,0.25311416612771265,0.69,1.0214925373134327,0.6494472736058179,2.0,0.0883582089552239,0.1800605205056792,0.55,0.2702487562189055,0.30921907737224963,1.04,1,Phi3
Phi3_S25,0.18290748898678416,0.2612891885945729,0.6979999999999995,0.10656387665198239,0.2532035438506607,0.7369999999999999,0.6307929515418502,0.5754769367479989,2.0809999999999995,0.08361233480176211,0.2371366609222921,0.7799999999999989,0.2897356828193832,0.3057066682220701,0.8109999999999996,1.5051982378854625,0.8066747710146708,2.5549999999999993,0.0890748898678414,0.17769051506890407,0.5169999999999999,0.07246696035242291,0.13847491869321077,0.3969999999999999,1,Phi3
Phi3_S42,0.27076923076923076,0.4134590865969604,1.1464999999999985,0.11326923076923076,0.20000707001078394,0.5519999999999993,1.0878846153846153,0.48730284716663824,1.6889999999999998,0.08846153846153845,0.16433328897169122,0.47799999999999987,1.1853846153846155,0.34993815441522735,1.6434999999999997,2.186153846153846,0.4764663798857038,2.8335,0.17750000000000002,0.39715594309698415,1.2194999999999996,0.12519230769230769,0.1900102204125788,0.5889999999999999,0,Phi3
Phi3_S5,0.2469230769230769,0.3328811471126925,0.9169999999999999,0.11413461538461539,0.20772746604473177,0.6054999999999998,0.5597115384615384,0.41592908453330957,1.2269999999999999,0.07038461538461539,0.17039031763436543,0.44199999999999934,0.35932692307692304,0.21816206865573437,0.69,0.8947115384615384,0.7180285262618508,2.2409999999999997,0.16490384615384615,0.30154616189242694,0.9094999999999996,0.03355769230769231,0.0732719137071782,0.2,1,Phi3
Phi3_S85,0.14943396226415095,0.24840580240915672,0.6459999999999998,0.12037735849056604,0.2181121999916464,0.5459999999999998,0.7639622641509435,0.7346593653959677,1.906,0.0439622641509434,0.10704671199350865,0.33399999999999985,0.47358490566037736,0.2073560143590157,0.7399999999999999,1.8309433962264152,0.8003106708093558,2.8699999999999997,0.0730188679245283,0.16785507606334762,0.4119999999999999,0.059622641509433964,0.09252779757271581,0.268,0,Phi3
Phi3_S97,0.18108695652173915,0.2254203802367633,0.5975,0.09391304347826088,0.1960212943179566,0.59,0.7100000000000001,0.45866472867807634,1.375,0.05608695652173913,0.11536373897603788,0.325,0.19608695652173913,0.1520011441604535,0.475,0.8034782608695652,0.6354078913625459,1.73,0.07630434782608696,0.14399627611932156,0.31,0.10391304347826087,0.14785094988414013,0.37,0,Phi3
Pol2_S10,0.45275862068965517,0.7990349733311976,2.5429999999999997,0.11245977011494253,0.26879603579982014,0.6989999999999986,0.7277701149425287,0.5908420473453774,1.98,0.08321839080459771,0.18883400564688757,0.6,0.9254252873563218,0.5303915524386176,1.7,1.8793793103448275,1.1373578124671977,3.517999999999997,0.06333333333333334,0.10597655016968562,0.31,0.40657471264367817,0.43161788742076573,1.3259999999999992,0,Pol2
